DATE,revenue,competitor_index,tv_S,ooh_S,social_S,display_S,search_S,tv_I,ooh_I,social_I,display_I,search_I
2024-09-02,6584497.04,103.695,167958.4,164465.34,96703.98,75721.64,148851.76,13845530,25949257,13936775,15000009,5529417
2024-09-09,6475519.52,99.449,139557.6,37268.98,95158.1,68361.11,158459.66,11428811,5849262,13860044,13587651,6107915
2024-09-16,6495403.75,99.379,154941.98,44423.92,72732.98,64304.58,141905.97,12842070,7174610,10828382,12407711,5336081
2024-09-23,5917570.86,99.655,135673.16,44599.55,60085.73,65880.22,131374.95,11038355,7095935,8742963,13507189,5073214
2024-09-30,6056600.15,101.525,136688.97,38924.33,166824.16,62832.52,176841.58,11539502,6410373,24612478,12942793,6879672
2024-10-07,5960821.44,101.518,134246.38,49228.99,179901.36,68889.56,128681.53,11414522,8177715,26705673,13434377,5098998
2024-10-14,6026019.92,103.478,142414.29,48171.94,196624.35,77571.44,140854.48,11783752,7947067,27697274,15404352,5461644
2024-10-21,6130910.59,102.681,148718.58,42876.83,85030.28,62181.55,124306.44,12158150,7143913,11811848,12579950,4764473
2024-10-28,6132666.93,101.815,161049.33,46947.32,68510.27,138312.9,171037.65,13274744,7421346,9514614,28081428,6829166
2024-11-04,5781323.24,104.818,194889.16,47997.92,87782.03,152400.53,127976.1,16373729,7924943,12899145,30413426,4855951
2024-11-11,6169393.53,103.213,158014.76,46248.51,88306.12,169548.13,165558.89,13249301,7466316,12323092,32962745,6398922
2024-11-18,6394060.01,102.422,616924.03,38824.29,149682.98,57567.96,170579.14,50819397,6147831,21196421,11265420,6733139
2024-11-25,8201335.69,101.645,518175.86,130290.43,168269.39,65322.4,130846.83,44918684,19957752,24869716,12836399,5013611
2024-12-02,7496021.85,100.97,698864.35,216370.35,243013.53,59665.27,178674.76,60695335,36058983,35477365,12497981,6883920
2024-12-09,7276436.88,102.121,606970.09,161868.54,76263.2,57461.99,326643.28,50421740,24753547,10797830,10993505,12630198
2024-12-16,7132585.12,103.257,181388.15,191083.54,78866.48,76571.0,286829.62,14977099,31704595,11193334,15650303,11300211
2024-12-23,8187785.23,100.536,151127.75,39591.0,122847.23,66256.14,188366.33,12571497,6517384,17622377,13307076,7192661
2024-12-30,7318776.72,101.219,184006.46,50149.34,81665.8,61386.47,159780.47,15107107,7992693,11089090,11937959,5983403
2025-01-06,7262889.31,101.044,139443.93,40120.49,194112.32,65752.1,164282.12,11434747,6306187,27797684,13405847,6257935
2025-01-13,7149721.99,101.124,142898.89,33652.12,151142.56,64401.53,161915.12,11487225,5243626,21703416,13268450,6127453
2025-01-20,7211812.36,104.415,145786.14,40509.66,195011.91,68183.31,150288.6,12202583,6628019,28562547,13287559,5705005
2025-01-27,6906505.64,103.851,144494.84,41332.49,82715.99,74104.34,155777.91,11943439,6522820,12086783,15613061,5969985
2025-02-03,7063365.19,100.898,155127.67,42625.96,71574.51,60878.51,154936.68,12975650,6529861,10255218,11611998,5832891
2025-02-10,7283352.43,102.985,152550.71,47430.76,94725.21,73699.17,143509.66,12732908,7439925,13666798,13971116,5579922
2025-02-17,6926038.6,102.008,116494.14,38444.43,70907.5,62871.93,136231.91,10060248,6046817,10543774,12268139,5093383
2025-02-24,7076486.72,99.139,128686.27,33653.74,92953.55,159428.2,162829.16,10757493,5523037,13381169,32403752,6166142
2025-03-03,7067134.84,99.106,133712.61,36734.53,82902.03,135446.3,148455.96,10949484,5799012,11704870,27185418,5647473
2025-03-10,6975689.6,98.885,158084.89,42792.7,74132.27,135516.79,137661.62,13316694,6838947,10979109,27496384,5555795
2025-03-17,6716294.42,101.361,141159.78,40847.02,213351.47,67532.51,147446.56,12171397,6391714,29917514,13675555,5576543
2025-03-24,6805954.84,100.528,159978.68,43670.83,236980.13,66140.47,144349.68,12905722,7100933,34377540,13566989,5686339
2025-03-31,6814530.37,102.72,159179.22,38173.34,215894.97,63277.17,175980.5,13387243,6022672,31500560,13006405,6794636
2025-04-07,6908648.23,100.57,150919.0,43007.39,67346.71,67059.58,159228.13,11945318,6747222,9719931,13876193,6279830
2025-04-14,6785451.01,102.005,115060.4,34691.75,87472.54,136839.77,131352.84,9179372,5366279,12146416,26784066,5242708
2025-04-21,6658035.84,102.631,187330.6,38831.81,76383.22,174642.19,153462.03,15649122,6375701,10713597,34808464,6016399
2025-04-28,6902103.46,100.943,157243.08,34611.02,87238.53,188054.96,147642.55,13059330,5321730,13025031,37767599,5683579
2025-05-05,7166398.91,99.931,139563.09,34617.37,219905.75,65692.3,298635.34,11068326,5516010,32119791,12467302,11401213
2025-05-12,7724629.24,100.655,155796.83,39369.36,195154.83,69622.22,340293.38,12918497,6156252,26876270,14162691,13233424
2025-05-19,6875199.77,100.378,141354.95,35416.85,222499.65,63038.01,148533.15,11569891,5729284,31688437,12209459,5608080
2025-05-26,6972550.55,96.385,151490.37,38155.03,73160.79,71605.24,134695.41,12553817,5963203,10543339,14695641,5093044
2025-06-02,7201465.08,97.875,543961.92,34476.48,91263.09,64631.71,155034.02,47093052,5491190,13289948,13204237,5726567
2025-06-09,7643629.62,97.332,780163.6,171983.25,75088.21,62522.68,140636.93,68616227,26969336,10582754,12424044,5230052
2025-06-16,7706588.0,97.346,583416.67,159793.27,86365.66,65647.36,324144.27,48600545,24831202,12664155,13556415,12529999
2025-06-23,7771828.21,98.408,637358.99,167265.71,81816.62,60670.21,291552.02,53555465,26522276,11414596,12080185,11046351
2025-06-30,7716771.15,98.221,139377.69,125839.26,73968.97,64338.11,381925.4,11533104,20321386,10855006,12911416,15131461
2025-07-07,7604661.85,96.278,167745.25,48534.15,233226.79,69160.45,371589.77,13963604,7643906,33875686,14213901,14352535
2025-07-14,7294456.66,98.632,725358.5,53672.74,166640.8,59001.72,150712.06,60533449,8447938,22712766,12053693,5910758
2025-07-21,7693174.19,95.453,626608.49,40050.42,221789.5,165593.42,179902.87,50483632,6563555,32045732,33985827,7309775
2025-07-28,7544508.2,97.592,554023.84,47376.15,76172.53,147793.67,146676.96,45794774,7467802,10668906,30163436,5668378
2025-08-04,7487462.57,98.568,630866.29,43425.94,79327.81,162780.63,152373.06,53489166,6859312,11207182,32670825,5953650
2025-08-11,7273072.26,96.651,149951.45,37536.03,79742.76,58026.93,182273.88,12209872,6347173,11186135,11586962,7007225
2025-08-18,6945324.69,97.736,169816.92,52141.67,72977.57,134749.72,147097.62,13830300,8092362,10568564,26680799,5563767
2025-08-25,7237365.83,95.448,633801.35,42695.88,83668.76,163757.08,165832.12,53919812,6603551,12226002,32520777,6176666
2025-09-01,7276199.25,93.673,638570.09,41558.33,69396.97,146836.37,154600.51,54205114,6678607,9922995,30649116,5921827
2025-09-08,7473208.75,94.174,598451.74,50341.3,142120.52,68435.72,177960.67,49203023,8411320,20327533,13530600,7258785
2025-09-15,7147111.54,95.233,592916.5,48015.05,197539.84,79355.16,154418.61,50789731,7491630,27847915,16050616,5923651
2025-09-22,6905138.89,94.322,153078.24,41334.68,166619.5,73014.95,136962.5,12725413,6683695,24806431,14163938,5446831
2025-09-29,7109219.94,95.043,178126.38,43656.07,90373.78,63083.92,163080.97,14891159,7090164,12588101,12607558,6349252
2025-10-06,7043288.01,97.184,606724.49,42221.19,195812.14,81235.52,154953.81,51024148,6989936,27881511,17005965,6016643
2025-10-13,6817795.54,98.642,652379.05,166691.38,198483.85,140752.32,156551.36,54650831,26037473,28225378,28450499,6028865
2025-10-20,6934849.83,100.109,572481.87,164359.31,172226.55,123840.66,161932.1,47524423,26441620,24582384,24539308,6283468
2025-10-27,6830367.09,101.968,580541.64,119672.3,88386.12,205777.93,170385.53,48668760,18624047,12313463,40649251,6681365
2025-11-03,6811668.45,103.22,130124.35,147702.94,181113.69,62173.6,143636.42,11320494,23979423,27035446,12727742,5508865
2025-11-10,6829389.19,103.577,146642.32,42406.95,172590.69,73107.75,283115.11,11813948,6728115,25705963,14719518,11268956
2025-11-17,6935528.72,102.316,551890.87,38685.13,167537.81,60989.03,297056.61,46716675,5976053,23782969,11441709,11536469
2025-11-24,8465950.37,103.045,454727.3,134083.57,72377.6,72923.22,135741.89,36082061,20411016,10408466,14520093,5116593
2025-12-01,7182796.42,100.284,530903.88,154507.9,90786.01,67416.82,140219.11,43929058,24988858,13301383,13636538,5306405
2025-12-08,7533679.37,99.095,492362.11,118951.87,213662.95,212476.48,377492.52,41856314,18398457,31986639,42734148,14090615
2025-12-15,7687113.75,99.346,142236.5,132249.37,198210.09,149316.79,303429.19,11419533,21203425,28900027,30452900,11262516
2025-12-22,8415401.64,101.361,139938.59,39652.04,185702.95,183730.97,148378.9,11552977,6349168,27645706,35829430,5558178
